review_reason,invoice,productType,notes,price,quantity,amount,Title,ID,Created Date,Updated Date,Owner
Parent invoice 2bbae55d-07b8-4131-a738-6ca9813ce178 is blocked because its project match is unresolved,2bbae55d-07b8-4131-a738-6ca9813ce178,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,1450,1,1450,,1963ce23-f895-445f-ab40-2ff7699096ac,2025-04-25T08:35:57Z,2025-04-25T08:35:57Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 62e7e98e-6f86-4ada-a464-7bf41e4e6950 is blocked because its project match is unresolved,62e7e98e-6f86-4ada-a464-7bf41e4e6950,9ce7b764-0240-4003-b858-3a24dc3e71f3,<p>Yandex - Media Spend</p>,15000,1,15000,,1c0cbb89-0f67-41d6-9297-6aeb38921108,2023-04-27T10:58:25Z,2023-04-27T11:06:23Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice c883fffc-90dd-4de7-bc64-dbb39294edd0 is not in the invoices CSV,c883fffc-90dd-4de7-bc64-dbb39294edd0,3393a717-a333-48a2-a785-ba2eebc00f68,<p>Advanced Hosting for Video Feeds</p><p>Editor X (Annual Fee)</p>,3000,1,3000,,1ff01b3b-aa45-4b26-b19f-91ec70d52ac3,2023-05-01T06:09:08Z,2023-05-01T07:55:05Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice c872c9c8-3873-4bb4-a61e-8c0629ef9f83 is blocked because its project match is unresolved,c872c9c8-3873-4bb4-a61e-8c0629ef9f83,5adee711-6197-4bbf-b057-460cfbc157db,<p>Create Brand Guidelines for Elite Vacations</p>,0,1,0,,200d3b06-2e05-4442-b676-291527706769,2025-05-16T07:20:33Z,2025-05-16T07:20:33Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 0f387d2d-4188-4f03-869f-48b490b40122 is not in the invoices CSV,0f387d2d-4188-4f03-869f-48b490b40122,3393a717-a333-48a2-a785-ba2eebc00f68,,3000,1,3000,,20d1a772-fc20-43e5-8fa0-083412eb8eff,2023-01-23T10:07:37Z,2023-01-23T10:07:37Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice c872c9c8-3873-4bb4-a61e-8c0629ef9f83 is blocked because its project match is unresolved,c872c9c8-3873-4bb4-a61e-8c0629ef9f83,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,55,1,55,,260093d5-5326-4f49-b924-b0b014f6f538,2025-05-16T09:32:22Z,2025-05-16T09:32:22Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 2f8684bf-708a-4eaf-a1e8-7c71a69b43d1 is blocked because its project match is unresolved,2f8684bf-708a-4eaf-a1e8-7c71a69b43d1,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,2947.5,1,2947.5,,27af5b6b-9dc5-4f23-9bd7-4acd5185e052,2025-08-12T08:07:14Z,2025-08-12T08:07:57Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice f01c0a81-45df-4b38-9bbe-b5a3616edbbd is blocked because its project match is unresolved,f01c0a81-45df-4b38-9bbe-b5a3616edbbd,74bc6f85-06a7-480e-a30e-155b42f29627,<p>Website Hosting Annual</p>,2500,1,2500,,28bb17f2-92ec-478e-ae80-c4a5b8e57f50,2024-08-22T06:03:56Z,2024-08-22T06:03:56Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 10f115fa-6ae5-4e39-b80f-0f393a899bb1 is blocked because its project match is unresolved,10f115fa-6ae5-4e39-b80f-0f393a899bb1,64533648-470a-4167-b761-f81e1960ec5a,"<p><span style=""font-weight:bold"">Social Media &amp; Content Creation + Performance Ads</span></p><ul><li>Daily Stories</li><li>2-3 post a week</li><li>Boost Budget 500 AED (Directly debited from Client Card)</li><li>Performance Ads Management &amp; Monitoring</li><li>Community Management, Strategy, Reporting</li></ul><p> </p><p><span style=""font-weight:bold"">Platforms:</span></p><p>META Facebook, Instagram, Pinterest, &amp; LinkedIn</p>",4000,1,4000,,28bc5cc1-96c2-4909-895e-429ad91bdde5,2026-04-30T11:31:30Z,2026-04-30T11:31:30Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 2f8b2c03-3149-4ec2-a4e4-b1e64278b596 is blocked because its project match is unresolved,2f8b2c03-3149-4ec2-a4e4-b1e64278b596,9ce7b764-0240-4003-b858-3a24dc3e71f3,<p>FB Business Account Upgrade</p>,2000,1,2000,,2bc3823e-e43a-485f-ae22-fc60e26d8c1a,2023-07-03T05:06:06Z,2023-07-03T05:06:12Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice c883fffc-90dd-4de7-bc64-dbb39294edd0 is not in the invoices CSV,c883fffc-90dd-4de7-bc64-dbb39294edd0,3393a717-a333-48a2-a785-ba2eebc00f68,<p>Maintenance (20 Hrs)</p>,6400,1,6400,,2fd0c807-fa62-4e6b-9705-412647597dfd,2023-05-01T06:10:18Z,2023-05-01T06:10:18Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 523194a3-154f-4a15-a5e3-a2eca6474ec8 is blocked because its project match is unresolved,523194a3-154f-4a15-a5e3-a2eca6474ec8,74bc6f85-06a7-480e-a30e-155b42f29627,<p>Annual Hosting</p>,2000,1,2000,,335ae894-33b4-4d1b-a4bf-aa081d103f56,2024-11-20T09:32:36Z,2024-11-20T09:32:36Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 62e7e98e-6f86-4ada-a464-7bf41e4e6950 is blocked because its project match is unresolved,62e7e98e-6f86-4ada-a464-7bf41e4e6950,9ce7b764-0240-4003-b858-3a24dc3e71f3,<p>Google - Media Spend</p><p> </p><p> </p><p> </p>,5000,1,5000,,39eb6fe3-b264-46f5-b7a4-64a78f175063,2023-04-27T10:30:22Z,2023-04-27T11:06:08Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 073b9e97-d76c-4256-98f1-53bfd1db23f9 is blocked because its project match is unresolved,073b9e97-d76c-4256-98f1-53bfd1db23f9,74bc6f85-06a7-480e-a30e-155b42f29627,"<p><span style=""font-weight:bold"">1. Website Technical Maintenance &amp; SEO: (Commercial)</span></p><ul><li><span style=""font-weight:bold"">Website Platform Updates:</span>Regularly update the Content Management System (CMS), plugins, themes, and other software components to the latest stable versions. Testing and deployment of updates in a staging environment before pushing to the live site. Backup the website database and files before updates.</li><li><span style=""font-weight:bold"">Security Monitoring and Management:</span>Implement and maintain security measures, including firewalls, malware scanning, and intrusion detection. Regularly monitor website security logs and address any potential vulnerabilities. Install and manage SSL certificates.</li><li><span style=""font-weight:bold"">Performance Optimization:</span>Monitor website loading speed and performance metrics. Optimize website code, images, and other assets for faster loading times. Implement caching mechanisms and content delivery networks (CDNs) as needed. Monitor Website uptime.</li><li><span style=""font-weight:bold"">Database Management:</span>Regularly backup the website database. Optimize database performance. Address database related issues.</li><li><span style=""font-weight:bold"">Broken Link Management:</span>Perform routine checks for broken links and correct them.</li></ul><p><span style=""font-weight:bold"">2. Content Maintenance:</span></p><ul><li><span style=""font-weight:bold"">Content Updates and Revisions:</span>Update existing website content as needed, including text, images, videos, and other media. Ensure content accuracy and consistency. Implement SEO best practices for content updates.</li><li><span style=""font-weight:bold"">New Content Creation and Publication:</span>Create and publish new website content, such as blog posts, articles, and product descriptions. Format and optimize content for web display. Manage content scheduling and publishing calendars.</li><li><span style=""font-weight:bold"">Image and Media Management:</span>Optimize and upload images and videos for web use. Manage image and media libraries. Ensure all images and videos are properly tagged with alt text.</li><li><span style=""font-weight:bold"">SEO Monitoring and Optimization:</span>Monitor website search engine rankings and traffic. Implement on-page and off-page SEO strategies. Perform keyword research and analysis.</li><li><span style=""font-weight:bold"">User Feedback and Support:</span>Monitor website user feedback and address any issues or concerns. Provide basic website support to users.</li></ul><p><span style=""font-weight:bold"">3. Reporting and Communication:</span></p><ul><li>Provide regular reports on website performance, security, and content updates.</li><li>Communicate with stakeholders regarding website maintenance activities and issues.</li><li>Maintain clear and organized documentation.</li></ul><p><span style=""font-weight:bold"">Deliverables:</span></p><ul><li>Regular website maintenance reports.</li><li>Updated website content.</li><li>Optimized website performance.</li><li>Secure and functional website.</li></ul>",3500,6,21000,,3a4b3d5a-da2a-493f-af09-779f6318e34c,2025-03-21T14:42:31Z,2025-03-21T14:42:31Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice f01c0a81-45df-4b38-9bbe-b5a3616edbbd is blocked because its project match is unresolved,f01c0a81-45df-4b38-9bbe-b5a3616edbbd,5adee711-6197-4bbf-b057-460cfbc157db,"<h3>1. Branding Origination</h3><ul><li>Develop a comprehensive brand identity that accurately reflects the client&#x27;s vision and values.</li><li>Create a distinctive and memorable logo that effectively communicates the brand&#x27;s essence.</li><li>Develop brand guidelines to ensure consistent brand application across all marketing materials.</li><li>Establish a strong brand foundation for future marketing and communication efforts.</li></ul><h3>2. Project Deliverables</h3><p>Brand Exercise</p><ul><li>Conduct in-depth market research and competitive analysis.</li><li>Define target audience and customer personas.</li><li>Develop brand positioning and messaging.</li><li>Create brand story and value proposition.</li><li>Define brand attributes, personality, and tone of voice.</li></ul><p>Brand Identity Development</p><ul><li>Develop brand name and tagline (if applicable).</li><li>Create a comprehensive brand identity guidebook.</li><li>Design a distinctive and memorable logo.</li><li>Develop a comprehensive color palette and typography system.</li><li>Create visual brand assets (icons, patterns, imagery).</li></ul><p>Brand Guidelines</p><ul><li>Develop comprehensive brand guidelines for internal and external use.</li><li>Establish brand standards for logo usage, color application, typography, and imagery.</li><li>Provide clear instructions for brand application across various platforms.</li></ul><p>Presentations and Deliverables</p><ul><li>Present brand strategy and research findings to the client.</li><li>Present logo concepts and brand identity options.</li><li>Deliver final brand identity package, including logo files, brand guidelines, and visual assets.</li></ul>",8000,1,8000,,3a8444cd-4fd8-4bc3-aa1c-e2083de5945d,2024-08-22T06:03:56Z,2024-08-22T06:03:56Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 2bbae55d-07b8-4131-a738-6ca9813ce178 is blocked because its project match is unresolved,2bbae55d-07b8-4131-a738-6ca9813ce178,9ce7b764-0240-4003-b858-3a24dc3e71f3,"<p><span style=""font-weight:bold"">Programmatic Ad Spend</span></p>",15000,1,15000,,3bcedbbd-a36a-4f7b-8408-4e384274dcf3,2025-04-25T08:35:16Z,2025-04-25T08:35:16Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice a29dd623-d78b-4228-a9ce-1ad5a3c07e2f is blocked because its project match is unresolved,a29dd623-d78b-4228-a9ce-1ad5a3c07e2f,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,275,1,275,,3d14f01c-d2aa-42e2-a4c4-deb018fb57f3,2026-02-03T10:03:36Z,2026-02-03T10:03:36Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 0c390535-3996-44be-94e4-c03b882cbdfc is blocked because its project match is unresolved,0c390535-3996-44be-94e4-c03b882cbdfc,d406eff1-25c2-46d8-abc7-4cd0f77fb9a3,<p>Passport API</p>,34000,1,34000,,3d51187a-9d5e-4bf4-a671-12e71b2b487c,2023-03-07T14:25:35Z,2023-03-07T14:27:12Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice bf036b9a-7b34-4da6-9ecd-27e1aa53a559 is not in the invoices CSV,bf036b9a-7b34-4da6-9ecd-27e1aa53a559,3393a717-a333-48a2-a785-ba2eebc00f68,<p>Arabic Site Project</p>,1950,1,1950,,43093c08-510e-4603-8a6c-831097150254,2023-02-05T13:47:02Z,2023-02-05T13:49:08Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 0a72716b-e0e9-4b17-aa72-e982fe799dbc is not in the invoices CSV,0a72716b-e0e9-4b17-aa72-e982fe799dbc,3393a717-a333-48a2-a785-ba2eebc00f68,<p>Digital &amp; Social Media Marketing</p><p>Account 1: Aspire Security</p><p>Account 2: Alliance Security</p><p>Account 3: REVO</p>,18000,1,18000,,441ba49a-5cd6-4c64-8526-58751f8de68d,2023-02-13T07:49:00Z,2023-02-13T07:56:52Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 27974d7e-40cf-48a5-b3a6-09677b1eb984 is blocked because its project match is unresolved,27974d7e-40cf-48a5-b3a6-09677b1eb984,0936c80e-f162-4d57-9a08-47b2a24b60d0,"<p><span style=""font-weight:bold"">Google Campaign EN/IT (30 Days Campaign)</span></p><p>Set up &amp; Execution</p><p>4 Landing Pages</p><p>4 Properties</p><p>4 Property Domains</p>",12650,1,12650,,47deaa3b-7d5b-4950-9099-739a55448a27,2023-05-15T13:51:49Z,2023-05-17T07:49:25Z,e168cbe8-c8cb-4ec3-b920-be764ec09acc
Parent invoice 523194a3-154f-4a15-a5e3-a2eca6474ec8 is blocked because its project match is unresolved,523194a3-154f-4a15-a5e3-a2eca6474ec8,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,600,1,600,,492fbf9b-ca69-4cfa-95dd-2c5ab6b507a8,2024-11-20T09:37:28Z,2024-11-20T09:37:28Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice eeb9e90f-9efa-403e-9c6a-32c8bf6b280d is blocked because its project match is unresolved,eeb9e90f-9efa-403e-9c6a-32c8bf6b280d,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,400,1,400,,4d29f1df-c564-4784-b092-d7f75f5378be,2026-04-24T11:22:56Z,2026-04-24T11:22:56Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 74645202-84ef-432c-ba47-c68978547851 is blocked because its project match is unresolved,74645202-84ef-432c-ba47-c68978547851,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,50,1,50,,5049cdbe-fc78-46db-ade5-6a922d0f0080,2025-11-05T11:05:43Z,2025-11-05T11:05:43Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice f01c0a81-45df-4b38-9bbe-b5a3616edbbd is blocked because its project match is unresolved,f01c0a81-45df-4b38-9bbe-b5a3616edbbd,3393a717-a333-48a2-a785-ba2eebc00f68,"<h3>Project Objectives</h3><ul><li>Develop a professional and user-friendly corporate website that accurately reflects the client&#x27;s brand identity and values.</li><li>Create a website that effectively communicates the company&#x27;s products, services, and mission.</li><li>Optimize the website for search engines to improve visibility and organic traffic.</li><li>Ensure the website is responsive and accessible across different devices.</li></ul><p> </p><p>Website Design and Development</p><ul><li>Conduct website audit (if applicable) to assess current website performance.</li><li>Develop website information architecture and sitemap.</li><li>Design website layout and user interface (UI).</li><li>Develop website content management system (CMS) (if applicable).</li><li>Develop custom website features and functionalities as required.</li><li>Integrate website with existing systems (CRM, email marketing, etc.) (if applicable).</li><li>Implement responsive design for optimal viewing on different devices.</li></ul><p>Content Creation and Management</p><ul><li>Develop website content (copy, images, videos) based on provided materials or create new content.</li><li>Optimize website content for search engines (SEO).</li><li>Manage and update website content as needed.</li></ul><p>Website Testing and Launch</p><ul><li>Conduct thorough website testing (browser compatibility, mobile responsiveness, performance).</li><li>Implement website analytics and tracking tools.</li><li>Launch website and provide necessary training to client.</li></ul>",10000,1,10000,,568a57e1-9765-4db5-876d-c7ee585430c8,2024-08-22T06:03:56Z,2024-08-22T06:03:56Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 8abdd507-3ecf-46df-bb46-ab972fa0b993 is blocked because its project match is unresolved,8abdd507-3ecf-46df-bb46-ab972fa0b993,3393a717-a333-48a2-a785-ba2eebc00f68,<p>Overtime Charges for IIRN</p>,3200,1,3200,,583f9870-3d86-4c86-b14e-4b91d5247b75,2024-03-06T07:29:41Z,2024-03-06T07:29:41Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice c872c9c8-3873-4bb4-a61e-8c0629ef9f83 is blocked because its project match is unresolved,c872c9c8-3873-4bb4-a61e-8c0629ef9f83,5adee711-6197-4bbf-b057-460cfbc157db,<p>10 Page Document - Elite Vacation Homes</p>,50,10,500,,5d346bfe-d3e3-4343-89b7-79872ddc1ac1,2025-05-16T07:20:33Z,2025-05-16T07:20:33Z,01f011dc-8d52-4de4-9524-780ccef3313b
Parent invoice 10f115fa-6ae5-4e39-b80f-0f393a899bb1 is blocked because its project match is unresolved,10f115fa-6ae5-4e39-b80f-0f393a899bb1,cb3328a7-5aff-4fe7-921f-b585c4163dc8,,400,1,400,,70d3607c-3784-4c2a-9ef5-300fbabe8d53,2026-04-30T11:31:53Z,2026-04-30T11:31:53Z,01f011dc-8d52-4de4-9524-780ccef3313b
